

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
099.804  000.486  000.486: require('mfaris.plugin-config.telescope')
100.127  000.085  000.085: require('vim.treesitter.language')
100.130  000.162  000.077: require('vim.treesitter.query')
100.426  000.074  000.074: require('vim.treesitter.languagetree')
100.431  000.141  000.066: require('vim.treesitter')
100.491  000.282  000.141: require('nvim-treesitter.parsers')
100.533  000.041  000.041: require('nvim-treesitter.utils')
100.536  000.364  000.041: require('nvim-treesitter.ts_utils')
100.538  000.407  000.043: require('nvim-treesitter.tsrange')
100.573  000.034  000.034: require('nvim-treesitter.caching')
100.577  000.649  000.046: require('nvim-treesitter.query')
100.585  000.721  000.072: require('nvim-treesitter.configs')
100.673  000.037  000.037: require('nvim-treesitter.info')
100.720  000.045  000.045: require('nvim-treesitter.shell_command_selectors')
100.728  000.140  000.058: require('nvim-treesitter.install')
122.496  000.079  000.079: require('vim.treesitter.highlighter')
122.520  000.167  000.088: require('treesitter-context')
122.630  022.825  021.797: require('mfaris.plugin-config.treesitter')
122.699  000.067  000.067: require('mfaris.plugin-config.undotree')
122.871  000.047  000.047: require('null-ls.utils')
122.877  000.088  000.041: require('null-ls.config')
122.945  000.033  000.033: require('null-ls.helpers.cache')
122.984  000.038  000.038: require('null-ls.helpers.diagnostics')
123.017  000.032  000.032: require('null-ls.helpers.formatter_factory')
123.089  000.031  000.031: require('null-ls.logger')
123.126  000.036  000.036: require('null-ls.state')
123.128  000.109  000.042: require('null-ls.helpers.generator_factory')
123.213  000.035  000.035: require('null-ls.helpers.command_resolver')
123.214  000.072  000.038: require('null-ls.helpers.make_builtin')
123.250  000.035  000.035: require('null-ls.helpers.range_formatting_args_factory')
123.251  000.373  000.053: require('null-ls.helpers')
123.370  000.046  000.046: require('null-ls.methods')
123.372  000.084  000.038: require('null-ls.diagnostics')
123.377  000.125  000.041: require('null-ls.sources')
123.414  000.036  000.036: require('null-ls.builtins')
123.415  000.660  000.039: require('null-ls')
123.462  000.045  000.045: require('null-ls.builtins.formatting.prettierd')
123.509  000.036  000.036: require('null-ls.builtins.formatting.black')
123.554  000.041  000.041: require('null-ls.builtins.formatting.stylua')
123.593  000.037  000.037: require('null-ls.builtins.formatting.google_java_format')
123.645  000.051  000.051: require('null-ls.builtins.diagnostics.flake8')
123.688  000.040  000.040: require('null-ls.builtins.diagnostics.misspell')
123.745  000.056  000.056: require('null-ls.builtins.diagnostics.write_good')
123.919  000.042  000.042: require('null-ls.client')
123.931  001.231  000.222: require('mfaris.plugin-config.null-ls')
124.184  000.033  000.033: require('dapui.async.tasks')
124.220  000.035  000.035: require('dapui.async.control')
124.286  000.065  000.065: require('dapui.async.uv')
124.324  000.035  000.035: require('dapui.async.tests')
124.407  000.051  000.051: require('vim.ui')
124.408  000.083  000.032: require('dapui.async.ui')
124.445  000.035  000.035: require('dapui.async.lsp')
124.447  000.330  000.045: require('dapui.async')
124.608  000.045  000.045: require('dapui.config.highlights')
124.644  000.162  000.117: require('dapui.config')
124.647  000.199  000.037: require('dapui.util')
124.683  000.035  000.035: require('dapui.windows.layout')
124.685  000.604  000.040: require('dapui.windows')
124.688  000.652  000.048: require('dapui')
124.728  000.037  000.037: require('mason-nvim-dap')
124.761  000.032  000.032: require('mason-nvim-dap.settings')
124.842  000.039  000.039: require('mason-nvim-dap.mappings.source')
124.843  000.075  000.036: require('mason-nvim-dap.ensure_installed')
124.917  000.052  000.052: require('mason-nvim-dap.api.command')
124.982  000.033  000.033: require('mason-nvim-dap.automatic_setup')
125.023  000.040  000.040: require('mason-nvim-dap.mappings.adapters')
125.065  000.040  000.040: require('mason-nvim-dap.mappings.filetypes')
125.157  000.049  000.049: require('mason-registry.bash-debug-adapter')
125.187  000.121  000.072: require('mason-nvim-dap.mappings.configurations')
125.332  000.054  000.054: require('dapui.logging')
125.375  000.042  000.042: require('dapui.client.types')
125.384  000.144  000.049: require('dapui.client')
125.423  000.037  000.037: require('dap.breakpoints')
125.458  000.032  000.032: require('dapui.client.lib')
125.532  000.038  000.038: require('dapui.render.canvas')
125.533  000.071  000.032: require('dapui.elements.breakpoints')
125.574  000.035  000.035: require('dapui.components.breakpoints')
128.133  000.045  000.045: require('dapui.elements.repl')
128.173  000.037  000.037: require('dapui.elements.scopes')
128.214  000.036  000.036: require('dapui.components.scopes')
128.271  000.056  000.056: require('dapui.components.variables')
131.045  000.046  000.046: require('dapui.elements.stacks')
131.134  000.042  000.042: require('dapui.components.frames')
131.135  000.083  000.041: require('dapui.components.threads')
